params_id,fold,learning_rate,batch,accuracy,precision,recall,f1,confusion_matrix
1,3,1e-05,32,0.6616759776536313,0.6553922973453871,0.6616759776536313,0.6566445236578349,"[[ 6517  3583  1760]
 [ 3299  6939  1702]
 [  721  1047 10232]]"
2,5,0.0001,32,0.7859217877094972,0.7827951508797861,0.7859217877094972,0.783761410589779,"[[ 8173  3010   677]
 [ 2637  8594   709]
 [  224   407 11369]]"
3,3,0.001,32,0.8282122905027933,0.8298070675352561,0.8282122905027933,0.8284448168194194,"[[ 9475  2141   244]
 [ 2987  8759   194]
 [  258   326 11416]]"
4,4,0.01,32,0.7851117318435754,0.7869839455637011,0.7851117318435754,0.7836638684998369,"[[ 7689  3588   583]
 [ 2253  9193   494]
 [  147   628 11225]]"
5,1,1e-05,64,0.6416759776536313,0.6360289914863676,0.6416759776536313,0.6378365045741913,"[[6590 3473 1797]
 [3699 6552 1689]
 [ 998 1172 9830]]"
6,5,0.0001,64,0.7710055865921788,0.7676638247847739,0.7710055865921788,0.7688888870894782,"[[ 8062  3084   714]
 [ 2872  8301   767]
 [  274   487 11239]]"
7,1,0.001,64,0.8320391061452515,0.8310721837997188,0.8320391061452515,0.8315176134022549,"[[ 9061  2499   300]
 [ 2418  9173   349]
 [  197   250 11553]]"
8,4,0.01,64,0.8012849162011173,0.8062153754485599,0.8012849162011173,0.8016306643086275,"[[ 9535  2055   270]
 [ 3538  8090   312]
 [  517   422 11061]]"
9,3,1e-05,128,0.6163687150837989,0.6099747358453277,0.6163687150837989,0.6089405989173242,"[[5871 3634 2355]
 [3170 6320 2450]
 [ 808 1317 9875]]"
10,4,0.0001,128,0.7555307262569833,0.7523798172656238,0.7555307262569833,0.7536770958609627,"[[ 7981  3027   852]
 [ 3107  8061   772]
 [  438   556 11006]]"
11,3,0.001,128,0.8261452513966481,0.8256251471799886,0.8261452513966481,0.8257930172210035,"[[ 8861  2659   340]
 [ 2417  9228   295]
 [  223   290 11487]]"
12,1,0.01,128,0.8113407821229051,0.8143949055797243,0.8113407821229051,0.8118381585979263,"[[ 8409  3210   241]
 [ 2211  9430   299]
 [  296   497 11207]]"
